Time,AccX,AccY,AccZ
649,2028,-220,17356
650,2140,-284,17312
651,2236,-252,17228
652,2192,-272,17412
653,2092,-332,17580
654,2092,-332,17580
655,2048,-312,17756
656,1888,-300,18020
657,1920,-120,18012
658,1888,-56,18132
659,1736,76,18168
660,1676,204,18032
661,1748,232,17712
662,1960,132,17436
663,2236,-120,17328
664,2076,-16,17424
665,2076,-16,17424
666,1908,-4,17536
667,1984,-24,17472
668,2060,-24,17304
669,2148,-196,17104
670,2228,-348,17328
671,2280,-524,17260
672,2256,-520,17000
673,2260,-592,17120
674,2164,-440,17444
675,1928,-276,18032
676,1928,-276,18032
677,1772,-32,18224
678,1588,-28,18472
679,1524,228,18492
680,1480,456,18372
681,1720,416,17836
682,2028,180,17372
683,2208,228,17196
684,2080,84,17296
685,1932,-24,17352
686,2060,140,17148
687,2060,140,17148
688,2244,-108,17076
689,2368,-472,17076
690,2340,-784,17120
691,2400,-816,17028
692,2356,-764,17192
693,2060,-552,17700
694,1760,-248,18216
695,1488,-224,18592
696,1188,160,18976
697,1152,728,18920
698,1152,728,18920
699,1416,688,18260
700,1892,364,17412
701,2324,340,16976
702,2320,52,17008
703,2136,-92,17424
704,2284,-44,16796
705,2532,-376,16492
706,2604,-892,16600
707,2676,-1076,16780
708,2452,-1068,16972
709,2452,-1068,16972
710,2204,-728,17556
711,1880,-380,18312
712,1256,-360,19036
713,868,176,19604
714,800,1072,19296
715,1236,1116,18392
716,1920,720,17372
717,2336,896,16760
718,2204,72,17024
719,2400,-136,17136
720,2400,-136,17136
721,2516,-296,16624
722,2856,-812,15976
723,2776,-1584,16120
724,2916,-1504,16428
725,2564,-1100,17148
726,2000,-512,18184
727,1220,-380,19348
728,536,-84,20308
729,452,1356,19896
730,924,1732,18664
731,924,1732,18664
732,1804,1052,17208
733,2320,1300,16712
734,2100,144,17328
735,2464,-136,17300
736,2680,-644,16332
737,3292,-1336,15196
738,3236,-2120,15476
739,3176,-1912,16092
740,2672,-1176,17376
741,1660,-532,18736
742,1660,-532,18736
743,588,-568,20536
744,-148,672,21280
745,212,2176,19800
746,1244,2192,17424
747,2184,1968,16084
748,2256,1324,16832
749,2008,-132,18568
750,2536,-664,17116
751,3476,-1804,15144
752,3476,-1804,15144
753,3744,-2888,14180
754,3864,-2492,14672
755,3172,-1788,17076
756,1912,-1180,19048
757,440,-756,21140
758,-420,1072,22280
759,-164,2608,20580
760,892,3000,17088
761,2104,3412,14660
762,1944,1896,16244
763,1944,1896,16244
764,2088,352,19620
765,2268,-1636,18824
766,3660,-3132,14376
767,4124,-3844,12308
768,4096,-2736,13864
769,3400,-2080,17748
770,1492,-1820,20792
771,52,-408,22232
772,-560,2376,22136
773,224,3548,19148
774,224,3548,19148
775,1212,4260,15292
776,1764,4144,13712
777,1688,2288,17676
778,1920,-1032,21856
779,3116,-3800,17836
780,4256,-5024,11916
781,4804,-3512,10844
782,4252,-2464,15264
783,2072,-2352,21144
784,436,-1112,22692
785,436,-1112,22692
786,-620,2052,22580
787,176,3932,19792
788,1184,4916,15588
789,1300,4960,13208
790,1176,3668,16012
791,1560,-808,23380
792,2964,-5172,20676
793,4044,-6020,11996
794,5000,-3696,9136
795,4692,-2916,14260
796,4692,-2916,14260
797,2164,-2924,21840
798,384,-720,23356
799,-204,2328,21996
800,412,4500,18800
801,1368,6372,14588
802,548,5360,13496
803,1292,4048,16120
804,1516,-2504,25504
805,3084,-6928,20060
806,4252,-6640,10156
807,4252,-6640,10156
